id,age,statut,bac_serie,cible,niveau_agronomie,niveau_algorithme,niveau_algèbre,niveau_analyse,niveau_analyse_mathématique,niveau_anglais,niveau_assainissement,niveau_autocad,niveau_bactériologie,niveau_base_de_données,niveau_biochimie,niveau_biologie_animale,niveau_biologie_cellulaire,niveau_botanique,niveau_chimie,niveau_comptabilité,niveau_dessin,niveau_droit,niveau_ecologie,niveau_economie,niveau_econométrie,niveau_electricité,niveau_electronique,niveau_environnement,niveau_enzymologie,niveau_finance_publique,niveau_fiscalité,niveau_français,niveau_génétique,niveau_géologie,niveau_html_css,niveau_hydraulique,niveau_hygiène,niveau_industries_pharmaceutiques,niveau_informatique,niveau_informatique_scientifique,niveau_langage_c,niveau_logique,niveau_macroéconomie_microéconomie,niveau_maintenance,niveau_marketing,niveau_mathématique_discrète,niveau_mathématique_financière,niveau_mathématiques,niveau_musique,niveau_mécanique,niveau_nutrition_humaine,niveau_organisation_dentreprise,niveau_ouvrages_métalliques,niveau_pharmacologie,niveau_physiologie_animale,niveau_physiologie_végétale,niveau_physique,niveau_probabilité_statistique,niveau_pétrologie,niveau_science_des_aliments,niveau_sites_touristiques,niveau_statistiques_appliquée,niveau_structure_de_données,niveau_structure_des_ordinateurs,niveau_technique_bancaire,niveau_thermodynamique,niveau_thermophysique,niveau_virologie,niveau_zootechnie,travail_equipe,autonomie,analyse_synthese,creativite,gestion_projet,environnement,secteur,filiere_nom
11,20,0,1,11,5,2,1,5,2,5,2,3,4,2,4,5,5,2,5,3,3,2,2,1,1,2,2,1,5,3,3,5,5,2,1,2,2,1,4,1,2,2,2,2,3,3,2,3,1,3,1,1,1,3,5,5,3,1,3,2,3,3,2,2,1,4,2,4,5,0,1,1,1,1,2,11,AEE
12,29,1,1,10,2,1,1,4,2,3,3,3,4,1,4,5,5,3,5,1,1,2,1,2,1,2,1,3,4,2,1,3,5,3,1,3,2,4,3,3,2,2,2,2,2,1,1,2,2,1,1,2,2,4,4,4,1,3,2,1,1,1,3,2,3,4,3,5,2,1,1,1,1,0,3,11,PIP
13,42,0,1,3,3,3,3,1,3,3,1,1,1,4,2,3,3,2,2,1,1,2,3,2,3,2,1,3,1,2,3,5,3,1,4,1,3,1,3,3,4,1,4,1,1,4,3,3,3,2,2,1,2,3,2,3,2,2,3,3,2,5,3,3,1,2,3,2,3,1,0,0,0,0,5,10,ISAIA
14,36,0,4,8,2,3,3,5,2,3,3,2,5,1,5,5,5,2,5,3,1,1,2,2,3,2,2,3,5,3,1,4,4,2,2,2,1,2,5,1,3,3,2,2,1,1,3,2,3,2,3,2,1,1,5,4,2,2,3,2,1,1,3,3,1,4,2,4,3,1,0,0,0,1,5,10,BIO
15,33,1,1,4,3,2,2,2,2,3,2,3,1,2,1,3,3,3,1,4,2,5,2,5,1,2,3,2,3,5,4,4,3,2,2,2,3,3,2,2,2,1,3,1,5,1,2,1,2,3,2,5,2,3,3,1,2,1,1,3,3,2,1,2,4,3,2,1,3,0,1,0,0,1,4,4,CAA
16,37,0,3,10,2,3,3,5,2,5,3,2,4,3,4,4,5,1,4,2,1,3,3,1,2,1,3,2,4,1,2,3,5,2,2,2,1,4,5,2,3,3,1,1,1,1,3,2,3,3,1,2,3,4,4,5,3,2,2,2,3,1,2,2,3,4,1,5,2,1,1,1,1,1,0,6,PIP
17,21,0,3,15,3,2,3,2,1,5,2,2,1,3,3,3,1,5,2,1,3,2,4,5,1,3,2,4,3,1,3,5,1,2,2,1,3,2,3,1,1,2,2,3,5,1,1,1,3,2,3,3,2,1,2,2,2,3,2,1,5,1,1,1,3,3,3,2,3,1,0,1,0,1,3,7,TEE
18,39,1,1,11,5,3,2,4,3,3,2,1,5,3,4,4,5,3,5,3,2,1,1,1,1,2,2,1,4,1,3,3,5,2,2,3,3,3,5,2,3,3,3,1,2,3,1,2,3,2,2,1,3,2,4,5,2,1,2,1,3,2,3,3,2,4,2,5,4,0,1,0,0,0,0,5,AEE
19,22,1,1,7,3,1,3,1,1,4,1,3,1,2,1,1,3,2,1,4,3,4,1,1,5,1,3,2,1,4,2,3,1,3,2,3,1,3,1,2,2,2,4,2,4,3,1,3,3,3,2,5,3,1,1,2,2,2,3,1,2,3,2,1,4,2,3,1,1,0,1,1,1,1,2,9,EMP
20,21,1,0,13,3,3,3,3,1,4,5,4,2,2,2,2,2,3,1,2,5,2,3,2,2,1,3,2,1,1,1,3,2,4,3,5,1,3,1,3,3,3,2,3,1,2,2,5,2,3,1,2,5,2,1,3,5,1,1,3,2,1,1,2,3,5,1,2,3,0,1,0,1,0,0,11,GCA
21,28,0,1,9,1,3,3,5,1,3,3,3,4,1,4,5,5,2,5,1,2,2,3,2,3,3,1,1,4,1,3,3,4,2,2,3,2,2,5,2,2,2,1,3,1,2,2,1,2,3,3,3,2,3,5,4,1,2,3,4,1,1,2,1,1,5,2,5,1,0,1,1,0,0,2,11,IAA
22,34,0,3,7,2,1,2,3,1,4,1,2,1,2,3,2,3,2,3,5,2,4,2,1,5,1,3,2,3,5,1,4,1,1,2,3,2,3,1,2,2,3,5,1,5,1,1,3,3,1,3,4,2,2,3,3,1,1,1,1,2,1,1,3,4,3,1,1,3,1,1,1,1,1,0,1,EMP
23,32,0,4,15,3,1,2,3,1,4,2,2,1,1,2,2,1,4,3,3,3,2,5,5,3,3,1,5,3,3,1,4,3,2,3,1,1,2,1,2,3,1,3,3,4,1,1,3,2,2,3,3,3,1,2,2,2,2,2,2,4,3,3,2,1,2,1,3,3,1,1,1,0,1,0,10,TEE
24,29,0,3,4,3,2,1,3,3,3,2,3,2,3,2,1,3,3,3,4,3,5,3,5,1,2,2,1,1,5,5,3,1,1,1,1,2,1,3,3,3,3,1,3,5,3,1,3,2,1,1,4,3,3,1,3,2,1,2,2,3,3,1,2,5,3,2,1,3,0,1,1,0,1,4,9,CAA
25,32,1,4,14,3,3,2,1,1,5,1,5,1,3,2,2,3,1,4,2,1,1,2,2,3,4,2,1,1,2,2,3,2,1,2,3,2,1,2,1,2,1,1,2,1,3,3,4,1,1,1,2,2,3,1,3,4,2,4,1,1,2,1,1,3,3,5,1,2,0,1,0,0,0,2,12,ICMP
26,20,0,5,14,3,3,1,3,3,5,1,4,2,2,1,3,2,1,5,1,3,3,1,3,2,4,3,3,3,3,3,3,2,2,1,3,2,2,2,3,1,2,1,2,1,3,3,5,1,3,3,2,1,1,2,3,4,3,4,3,2,3,2,3,1,1,4,3,2,0,1,0,0,0,4,5,ICMP
27,34,0,4,9,2,2,1,4,2,4,1,3,5,2,4,5,5,2,5,2,2,1,2,3,2,2,3,2,4,3,2,3,5,3,1,3,2,2,3,1,2,3,2,2,2,3,3,2,1,3,2,2,2,1,5,5,2,3,1,4,3,3,2,2,3,4,1,4,3,1,0,0,0,0,4,5,IAA
28,30,1,0,11,4,3,2,5,2,4,1,3,4,3,5,5,5,3,5,1,1,1,3,1,2,3,2,3,4,2,2,5,5,1,3,2,3,2,3,1,1,1,2,1,3,2,1,3,2,3,2,3,1,3,5,5,1,3,3,3,3,1,2,3,1,4,1,4,4,1,0,1,1,1,4,8,AEE
29,37,1,0,4,2,3,3,2,3,4,2,3,1,1,2,3,1,2,2,5,1,4,1,5,3,1,1,3,1,5,4,3,2,3,1,2,3,2,1,2,1,3,3,2,4,3,2,3,3,1,3,4,3,3,1,1,3,3,3,3,2,3,1,1,4,1,3,3,2,0,1,0,1,1,3,4,CAA
30,25,1,3,15,2,2,1,3,1,3,2,2,2,2,1,2,3,4,2,3,2,3,5,4,1,2,3,4,2,1,2,3,2,2,1,1,1,1,2,2,3,2,1,1,5,3,3,2,1,1,2,3,2,2,2,2,1,1,2,3,5,1,1,3,2,1,1,2,2,1,1,0,0,1,0,4,TEE
31,42,0,0,11,4,3,3,4,2,5,2,1,5,3,5,5,4,1,4,2,2,2,3,2,1,1,3,3,5,3,1,3,4,1,3,2,2,3,4,1,3,3,1,2,3,2,1,2,3,3,2,3,2,3,5,5,2,1,2,2,3,1,2,3,2,4,3,5,5,0,0,1,0,1,0,10,AEE
32,19,0,3,7,1,1,2,2,2,3,2,3,1,2,3,3,2,3,3,4,3,4,3,1,5,3,2,3,2,5,1,4,3,2,3,2,3,3,3,3,3,2,5,1,4,2,3,2,1,2,2,4,3,3,2,2,2,2,3,3,2,2,1,3,5,2,2,1,2,0,1,0,1,1,4,11,EMP
33,24,0,2,15,3,3,2,1,1,5,3,3,1,1,1,3,3,4,3,1,1,1,5,4,3,2,1,4,1,3,1,4,3,2,2,3,1,2,2,2,3,1,1,3,4,3,3,3,1,1,2,1,1,2,2,1,3,2,1,1,5,3,3,1,2,2,2,3,3,1,0,1,1,0,4,5,TEE
34,41,0,1,5,1,1,3,2,2,5,3,1,1,3,3,2,2,3,2,4,2,4,1,4,2,2,1,1,2,5,1,4,2,2,2,3,3,3,1,2,3,2,3,1,4,3,1,2,2,1,2,5,3,1,3,2,2,3,1,1,1,2,1,2,5,2,3,3,2,0,0,0,1,1,0,9,FIC
35,19,1,5,3,1,5,5,1,3,2,3,2,1,5,1,3,3,2,1,3,2,1,2,1,3,2,2,3,1,3,2,5,2,3,3,2,2,1,3,3,5,1,4,2,2,5,1,3,1,1,2,1,2,2,1,1,3,3,3,2,2,5,4,2,2,1,3,3,3,0,1,0,0,1,3,11,ISAIA
36,44,0,0,7,2,2,3,3,3,4,3,2,1,1,2,2,1,2,1,4,1,5,3,1,4,1,1,1,3,4,2,5,3,3,1,1,3,1,2,2,1,3,4,1,4,3,2,1,3,3,2,5,1,2,1,3,3,1,2,2,2,1,3,3,4,3,3,2,3,1,0,1,1,1,4,6,EMP
37,27,0,4,4,2,1,1,2,3,3,2,1,3,2,2,3,3,1,2,4,2,4,2,4,2,2,1,3,3,4,4,4,2,3,3,3,1,1,1,3,3,3,3,1,5,1,2,2,1,1,1,4,3,2,1,3,3,3,1,2,1,3,2,2,5,2,3,3,2,1,1,1,1,1,0,11,CAA
38,42,1,5,15,2,2,2,1,3,3,3,1,1,2,3,3,3,5,2,1,1,2,4,4,3,1,2,5,2,2,3,5,3,2,2,1,3,2,1,1,3,3,2,1,4,3,1,1,3,1,1,2,1,3,1,1,3,1,1,1,5,2,1,3,3,3,3,2,3,1,0,0,1,0,0,11,TEE
39,35,1,0,8,3,3,2,4,1,3,3,1,4,1,5,5,5,2,4,2,2,2,3,1,3,1,2,3,4,3,3,3,4,2,2,2,3,2,3,3,1,3,1,1,2,2,3,2,3,1,3,1,1,1,5,5,1,1,3,2,3,3,3,1,1,5,1,4,3,0,1,0,1,0,3,9,BIO
40,39,1,1,12,3,1,3,3,1,5,3,5,1,1,2,1,1,2,3,3,5,2,1,3,2,5,5,1,2,3,2,4,1,3,3,3,2,1,3,2,1,3,1,4,2,1,2,5,3,4,3,2,5,2,1,1,3,2,2,2,2,1,1,1,1,5,2,3,3,1,0,0,0,1,3,9,EMII
41,45,0,1,10,2,1,3,4,3,5,1,3,5,1,4,5,5,2,5,1,1,1,2,2,2,2,2,1,5,2,1,5,5,3,3,1,2,4,3,2,1,2,2,3,2,2,2,2,2,3,3,1,2,5,4,5,2,1,2,2,2,3,3,3,2,4,2,5,2,1,1,0,0,0,4,8,PIP
42,41,0,3,0,2,4,5,1,4,3,2,1,3,4,1,2,3,1,3,5,2,1,2,3,2,3,2,3,3,3,2,5,1,2,5,3,3,3,1,3,3,3,3,2,1,5,4,3,3,3,3,5,2,2,1,1,1,5,1,3,3,3,5,3,3,3,1,2,2,1,1,0,1,0,2,4,IGGLIA
43,20,0,6,13,1,2,2,2,2,3,5,5,2,1,2,3,3,2,2,1,5,1,3,1,1,2,3,1,3,1,3,3,3,4,3,4,2,3,2,2,1,2,3,1,1,3,3,4,2,1,3,3,4,2,3,2,4,1,3,1,1,2,3,1,3,4,3,1,2,1,0,1,0,1,4,7,GCA
44,38,0,1,16,2,3,1,2,2,4,3,1,3,3,2,3,3,4,3,1,2,1,4,4,1,1,2,4,3,2,2,5,1,3,2,2,4,2,3,3,3,3,1,3,4,2,2,1,1,2,5,4,2,1,2,1,1,2,3,5,5,3,2,2,3,2,2,1,1,0,0,1,0,1,1,4,TEH
45,42,0,3,5,2,3,3,1,3,3,2,3,2,3,1,3,2,3,1,5,1,4,2,4,2,2,2,1,2,4,1,3,3,3,3,2,3,3,3,2,1,3,1,1,4,1,3,2,3,2,3,4,2,3,2,2,3,2,3,3,1,1,2,1,5,3,1,3,1,0,0,1,0,1,2,9,FIC
46,38,0,2,8,3,1,2,5,3,4,2,2,5,3,4,4,5,3,5,1,3,2,1,2,1,2,2,2,5,2,3,5,4,3,2,2,3,1,3,1,3,2,1,1,1,2,2,1,2,1,3,1,3,2,4,5,1,3,2,2,1,2,3,3,1,4,2,5,3,0,1,0,0,0,1,1,BIO
47,36,0,3,4,1,1,3,2,1,4,3,1,2,1,1,2,1,3,1,4,2,5,2,4,2,1,3,3,1,4,4,5,3,1,2,2,3,1,3,3,1,2,3,3,5,1,1,1,1,1,3,5,2,2,2,1,1,2,3,1,1,3,3,3,5,3,1,3,2,0,0,1,1,0,4,12,CAA
48,33,0,1,7,3,3,1,3,1,4,2,1,2,3,2,2,3,3,1,5,1,4,3,1,4,2,1,1,1,5,3,4,3,3,3,2,2,3,2,1,3,3,4,2,4,2,1,3,1,1,3,5,2,3,3,3,3,3,1,2,3,2,3,1,4,1,1,2,1,1,0,1,0,0,0,2,EMP
49,23,0,1,0,3,5,4,1,4,1,3,2,3,3,1,2,2,2,3,4,2,3,3,3,1,2,2,3,2,1,2,5,1,2,3,2,1,3,3,5,3,1,3,3,1,3,4,1,1,2,2,5,1,1,1,3,3,5,1,2,1,2,5,2,2,1,3,2,1,0,0,0,0,1,0,7,IGGLIA
50,42,1,1,9,3,2,1,5,1,4,3,2,4,2,5,5,4,3,4,1,1,2,1,1,3,2,3,3,4,2,1,5,5,3,3,2,1,1,5,1,2,2,1,1,3,2,1,1,1,3,2,3,2,2,4,4,3,1,3,5,1,3,3,1,2,4,1,5,2,1,1,1,1,1,1,1,IAA
51,22,1,3,6,1,1,1,2,2,4,2,1,3,2,1,2,2,2,2,1,1,4,3,5,3,3,3,1,1,5,4,3,3,1,2,2,3,1,3,2,2,4,1,2,5,3,3,3,1,1,2,4,1,1,1,1,1,1,1,2,2,3,3,3,1,3,3,2,1,0,0,0,1,0,0,13,DTJA
52,21,0,2,10,1,3,2,5,2,3,2,3,5,1,5,4,4,2,5,2,1,1,3,3,3,1,3,2,5,2,3,4,4,1,2,2,1,5,3,3,3,1,3,3,1,2,3,2,2,3,2,2,3,5,5,5,1,1,2,3,1,1,2,1,2,5,3,4,1,0,0,0,1,0,4,3,PIP
53,29,1,6,12,1,1,1,3,2,5,3,5,3,1,3,3,2,3,3,1,4,2,3,2,1,5,4,1,1,1,3,3,1,3,2,1,2,3,1,1,2,3,1,5,1,1,1,5,3,4,1,3,5,1,2,3,5,2,3,1,2,2,2,1,1,5,3,2,3,1,0,1,0,0,2,11,EMII
54,22,0,0,9,3,3,2,4,1,5,2,3,4,3,4,5,4,2,4,1,2,2,1,3,1,3,3,3,5,2,1,4,4,1,3,1,2,2,3,3,1,1,2,2,3,2,1,2,2,2,2,3,2,1,5,4,1,2,1,4,2,1,2,2,1,4,2,4,2,0,0,0,1,1,4,6,IAA
55,37,1,1,5,1,2,1,1,2,5,3,3,3,3,2,3,2,2,1,4,1,5,3,5,1,1,2,1,2,4,2,5,3,3,2,1,1,1,1,1,3,2,1,2,4,2,2,2,2,3,2,4,3,3,2,1,2,2,2,1,2,1,2,2,5,2,1,2,3,0,0,0,0,1,4,6,FIC
56,35,0,1,7,3,2,3,3,2,5,1,2,2,1,2,3,1,3,3,4,1,5,1,1,4,1,1,1,2,4,3,4,1,3,1,3,2,2,3,1,1,2,5,3,5,2,3,2,1,3,3,5,1,2,1,1,3,3,3,1,1,3,1,2,5,2,2,2,3,1,1,0,0,1,2,9,EMP
57,19,0,5,12,3,1,1,3,2,4,2,4,2,2,2,2,2,3,3,1,4,1,2,3,2,5,5,3,2,3,3,3,1,2,1,2,3,2,3,2,1,3,1,4,2,3,3,4,1,4,1,1,4,1,1,1,4,1,2,3,1,2,2,2,3,5,3,1,3,0,0,1,1,1,0,13,EMII
58,36,0,1,15,2,3,3,1,2,3,2,1,1,3,1,1,3,4,3,1,2,3,5,5,1,3,1,5,1,3,1,5,1,1,2,3,2,3,3,3,2,2,2,2,5,2,1,2,2,3,3,3,2,3,1,1,3,3,2,3,5,2,3,1,2,1,2,2,3,1,1,1,1,0,0,12,TEE
59,19,1,4,7,3,2,3,2,3,3,3,1,3,2,2,2,2,2,2,4,3,4,2,3,4,3,3,3,2,5,3,4,1,3,3,1,2,1,2,1,3,2,4,3,5,3,1,1,2,1,3,5,2,2,2,2,3,2,2,1,2,1,3,3,4,2,1,3,1,1,1,1,0,0,0,3,EMP
60,31,1,5,10,2,1,2,4,1,4,2,3,4,2,4,4,5,2,4,1,3,1,2,1,1,3,2,3,5,2,2,4,5,1,1,3,1,5,3,2,3,1,1,3,1,3,3,1,1,3,2,2,1,4,5,5,1,1,1,2,2,2,3,3,3,5,2,4,2,1,1,0,0,1,0,3,PIP
61,24,1,3,4,1,1,2,3,3,3,2,3,2,3,3,1,3,1,3,4,3,4,1,4,2,2,2,1,3,5,5,5,1,1,3,3,3,1,2,2,3,1,3,3,5,3,3,3,1,2,1,4,2,1,1,2,1,3,1,2,3,1,2,3,5,2,1,1,3,1,0,1,1,0,0,10,CAA
62,21,1,3,2,1,3,5,1,5,3,1,2,3,3,2,2,2,2,1,1,1,1,2,2,3,2,5,3,1,1,1,3,1,3,5,1,2,2,2,5,4,3,1,2,2,3,1,2,2,2,2,2,3,2,2,3,1,4,1,3,3,1,3,4,2,3,2,3,3,1,0,1,1,0,4,14,ESIIA
63,33,1,0,4,2,2,1,1,2,5,2,1,3,3,3,3,3,3,3,4,3,5,3,4,2,3,3,1,2,5,5,3,3,3,1,1,3,1,3,2,2,1,1,2,5,1,2,2,1,3,1,5,2,1,1,2,2,3,2,1,2,2,2,1,5,3,3,1,1,1,1,0,0,0,4,9,CAA
64,34,0,3,9,2,2,2,4,1,4,2,3,5,3,5,5,4,1,4,1,2,2,3,2,3,3,2,3,4,1,1,4,4,3,3,3,2,1,4,3,1,1,1,2,1,2,1,3,2,1,2,1,3,3,4,5,2,3,3,4,2,1,3,3,1,5,3,5,3,0,0,0,0,1,4,9,IAA
65,34,1,2,10,3,3,1,5,2,4,2,2,4,1,5,5,5,3,4,1,1,3,3,2,3,2,3,1,4,3,3,5,5,3,1,2,3,5,5,3,3,3,2,3,3,3,2,2,1,3,1,1,2,4,4,4,1,2,1,2,3,2,1,1,3,5,1,4,2,1,0,0,1,0,3,12,PIP
66,40,0,5,9,2,2,3,5,3,3,1,3,5,1,5,4,5,3,4,3,1,2,2,1,3,1,1,1,4,2,1,4,5,3,2,1,1,3,4,1,2,2,3,1,1,1,2,3,1,3,3,3,2,2,5,4,3,2,3,4,1,3,1,3,1,5,3,5,1,1,0,0,1,1,2,3,IAA
67,33,1,4,16,3,1,1,3,2,4,1,3,3,3,1,1,3,5,2,1,2,2,5,3,3,2,3,5,2,1,2,5,1,2,3,1,4,1,3,3,1,3,1,1,4,3,2,1,1,3,5,4,3,3,1,1,2,3,2,4,4,1,1,1,2,3,1,3,1,1,1,1,1,1,2,0,TEH
68,39,0,0,12,3,3,1,3,3,3,3,4,2,3,1,2,3,2,3,1,5,2,2,2,3,4,5,1,3,1,1,5,2,3,2,3,1,2,3,3,3,2,1,4,1,1,1,5,3,5,3,3,4,2,1,3,5,3,2,1,2,3,3,1,1,4,1,3,2,0,0,0,0,1,3,1,EMII
69,39,0,0,9,3,3,2,5,2,3,3,3,4,1,5,4,4,2,5,2,2,3,3,2,3,3,1,3,5,2,2,3,4,2,1,1,3,3,5,2,2,2,1,3,3,2,2,2,2,2,2,2,3,1,4,4,2,1,3,4,2,3,3,1,3,4,1,4,3,1,0,0,1,1,4,2,IAA
70,30,0,4,11,5,1,2,4,2,4,3,1,4,3,4,4,5,1,4,3,3,3,1,3,3,2,2,1,4,2,1,3,5,2,1,1,3,1,5,2,2,2,2,1,1,3,2,1,3,3,3,2,3,2,4,5,3,2,2,3,3,1,3,2,2,4,3,5,5,1,1,1,0,0,2,3,AEE
71,34,0,1,2,1,3,4,3,5,1,3,1,2,4,3,1,2,3,2,2,1,3,1,3,2,1,4,1,1,3,3,3,1,3,5,1,3,1,1,3,4,1,3,2,3,5,3,1,3,3,3,2,1,1,2,3,2,5,1,1,2,3,3,4,3,3,3,2,1,1,1,0,0,1,2,1,ESIIA
72,24,0,5,0,3,4,3,3,3,1,2,3,3,3,3,3,1,1,2,4,3,3,1,3,3,2,3,2,2,1,3,5,2,1,4,2,2,3,3,5,5,1,2,1,2,4,4,1,2,3,3,5,2,1,1,3,3,4,3,3,1,3,3,2,3,1,3,2,2,1,0,0,1,1,1,8,IGGLIA
73,36,0,1,13,3,2,1,2,3,5,5,4,2,3,3,2,2,2,3,2,5,3,1,3,1,3,1,2,3,1,1,3,3,5,2,4,1,2,3,1,1,1,2,3,2,1,1,4,1,2,1,3,4,3,2,2,5,3,3,2,3,3,1,1,3,5,2,1,1,1,0,0,0,0,4,5,GCA
74,38,0,1,7,2,2,2,3,2,4,3,1,3,1,3,3,1,1,3,5,3,5,2,2,4,3,1,2,2,4,2,3,2,3,1,3,1,3,2,2,1,3,5,3,5,3,2,2,3,2,1,5,2,3,2,3,1,2,1,2,1,2,3,1,4,2,2,2,3,0,1,0,1,0,2,11,EMP
75,20,0,1,10,2,2,1,5,1,5,3,1,5,3,4,4,4,2,4,1,1,1,3,2,1,1,1,1,5,3,1,5,4,2,2,3,2,5,5,2,2,1,3,2,2,1,3,1,1,3,2,2,3,4,5,5,3,1,2,1,3,3,2,2,3,4,1,4,2,0,1,1,1,0,3,3,PIP
76,33,1,1,8,1,2,2,4,2,5,2,2,5,2,5,4,4,3,4,1,3,2,1,3,2,2,1,1,4,2,1,3,5,2,1,3,3,3,5,2,2,2,2,3,3,1,2,1,3,1,1,1,2,2,4,5,3,2,2,2,2,3,3,2,2,4,2,4,2,0,0,1,1,1,4,7,BIO
77,20,0,1,14,3,1,1,3,2,4,3,5,1,1,1,2,1,2,5,3,2,3,2,3,3,5,2,2,2,3,3,5,2,2,1,1,1,1,3,1,3,2,3,3,3,1,1,3,2,1,1,1,2,3,1,1,4,3,4,1,2,3,1,1,3,2,5,1,1,1,1,0,0,0,0,10,ICMP
78,45,1,5,11,5,3,2,5,1,5,3,1,5,3,5,5,5,2,4,1,2,2,2,2,2,1,2,1,4,3,1,4,5,2,3,1,3,2,4,2,1,2,2,3,1,1,3,2,1,2,3,2,2,1,4,5,2,1,2,1,2,3,1,3,3,5,2,5,5,0,0,0,0,1,0,7,AEE
79,26,1,2,14,2,1,1,1,3,3,1,4,2,2,1,3,2,3,4,1,1,1,1,2,1,5,2,2,2,2,2,5,1,2,1,1,1,2,2,1,3,2,1,1,2,2,1,3,3,1,2,2,1,3,1,1,4,3,4,3,3,1,2,2,3,2,5,1,3,0,0,1,1,1,0,14,ICMP
