matiere__maths,matiere__physique,matiere__info_algo,matiere__biologie,matiere__chimie,matiere__economie_gestion,matiere__droit,matiere__technique_manuel,matiere__langues,matiere__tourisme,matiere__arts,competence__programmation,competence__analyse_quantitative,competence__communication,competence__gestion_projet,competence__manuel_technique,competence__creativite,interet__recherche,interet__entrepreneuriat,interet__terrain,interet__donnees_finance,interet__sante_bio,interet__industrie,environnement_souhaite,moyenne_generale,domaine,parcours,profil_frontiere
1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,mixte,11.52,gestion_finance,EMP,0
,0,,0,0,1,,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,bureau,16.61,informatique,IGGLIA,0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,,1,0,laboratoire,11.51,biotechnologies,PIP,0
0,0,1,0,0,0,,0,0,1,0,0,,0,0,1,,0,0,0,0,1,0,terrain,12.87,informatique,ISAIA,0
,1,0,0,0,0,0,,1,0,0,0,0,,1,1,0,0,0,0,1,0,0,bureau,13.69,gestion_finance,FIC,0
0,0,,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,terrain,14.13,tourisme_environnement,TEH,0
1,,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,bureau,12.18,gestion_finance,FIC,0
0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,0,0,0,1,0,0,mixte,14.8,informatique,IGGLIA,0
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,bureau,10.05,industrie_btp,GCA,0
0,0,1,0,0,1,1,0,0,,0,1,1,0,0,,0,0,0,0,1,0,0,atelier,14.47,informatique,IMTICIA,0
0,0,0,,,1,0,0,0,0,1,1,,,0,0,0,0,1,0,0,0,0,bureau,12.15,informatique,IGGLIA,0
0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,atelier,11.03,tourisme_environnement,TEH,0
1,0,1,0,0,1,0,,0,0,0,1,1,0,,0,,0,,0,0,0,,bureau,12.17,informatique,ESIIA,0
0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,laboratoire,11.57,industrie_btp,GCA,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,1,0,1,0,0,bureau,8.95,gestion_finance,EMP,0
1,1,1,0,0,0,0,0,1,0,0,,1,0,,0,0,0,1,0,0,0,1,mixte,13.13,informatique,ESIIA,0
1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,,0,0,1,0,0,1,mixte,16.45,industrie_btp,GCA,0
0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,,1,0,atelier,11.04,biotechnologies,AEE,1
0,0,0,,,0,0,0,0,0,0,0,1,,1,0,0,0,,0,0,0,0,terrain,13.45,gestion_finance,EMP,1
1,0,1,0,,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,0,0,terrain,12.33,informatique,ISAIA,0
1,,1,0,0,0,0,0,0,0,0,1,1,,,0,1,,0,0,,,1,atelier,12.7,informatique,ESIIA,0
0,0,0,1,0,0,0,0,0,1,0,0,,0,1,1,1,,0,1,0,1,0,terrain,10.59,tourisme_environnement,TEH,0
1,1,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,1,1,0,0,0,mixte,13.07,informatique,ESIIA,0
1,0,0,0,0,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,bureau,12.17,industrie_btp,GCA,0
0,1,0,0,0,1,0,0,0,0,0,0,1,,,,0,0,1,1,1,0,0,mixte,12.97,gestion_finance,EMP,0
1,,0,1,1,0,0,,,0,0,0,1,0,0,0,0,1,0,1,0,,0,laboratoire,9.92,biotechnologies,IAA,0
,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,,0,1,0,1,0,0,bureau,13.01,industrie_btp,GCA,0
0,1,1,0,0,0,0,0,1,0,0,1,0,,,0,,1,1,,0,0,0,bureau,13.1,informatique,ESIIA,0
0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,bureau,11.79,gestion_finance,CAA,0
1,0,1,0,0,1,0,0,,0,0,1,1,0,1,0,0,1,1,0,1,,,bureau,12.77,informatique,IGGLIA,0
1,1,0,0,0,1,0,1,0,0,0,0,0,,1,0,0,,0,0,0,0,1,atelier,8.97,industrie_btp,ICMP,0
0,0,0,1,1,1,,0,0,0,1,0,1,0,1,0,0,1,0,,0,1,,laboratoire,14.97,biotechnologies,IAA,0
0,1,1,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,1,,1,terrain,14.68,industrie_btp,EMII,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,laboratoire,10.14,biotechnologies,IAA,0
0,0,1,0,1,,,1,0,0,0,1,0,0,0,1,0,1,0,1,0,,1,mixte,13.08,biotechnologies,IAA,1
,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,laboratoire,9.09,tourisme_environnement,TEH,1
1,1,1,,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,,laboratoire,14.79,informatique,IGGLIA,0
1,1,1,,0,1,0,,0,0,0,,0,,1,0,1,0,0,0,1,0,0,atelier,14.82,informatique,ESIIA,0
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,bureau,11.06,gestion_finance,EMP,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,,0,0,1,0,1,bureau,11.28,gestion_finance,DTJA,0
1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,,1,0,0,bureau,12.02,informatique,IGGLIA,0
0,0,0,0,0,,0,0,0,0,0,0,1,,1,1,0,0,0,1,,0,1,mixte,14.66,industrie_btp,GCA,0
1,1,1,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,1,1,0,0,bureau,12.97,informatique,IMTICIA,1
1,0,0,0,1,1,,0,0,0,0,0,1,1,0,0,0,0,0,,1,0,0,bureau,10.82,gestion_finance,DTJA,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,terrain,12.44,informatique,ESIIA,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,bureau,10.18,gestion_finance,EMP,0
,0,0,0,0,1,0,0,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,mixte,14.04,gestion_finance,CAA,1
1,,0,0,0,0,0,0,1,1,0,0,1,,0,0,0,0,0,1,0,1,0,terrain,7.24,gestion_finance,CAA,0
0,0,0,0,0,,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,mixte,12.76,gestion_finance,EMP,0
1,0,0,0,0,1,1,1,1,0,0,1,0,,,0,0,0,1,0,1,0,0,mixte,12.48,gestion_finance,CAA,0
1,0,,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,,0,,1,bureau,10.19,industrie_btp,EMII,0
0,1,1,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,,0,,bureau,14.21,informatique,ESIIA,0
0,,0,0,0,1,1,0,0,0,0,0,0,0,,0,,0,1,0,0,0,0,mixte,15.01,gestion_finance,FIC,0
0,1,1,0,1,0,0,0,0,0,0,1,,0,1,0,0,0,1,0,0,0,1,laboratoire,11.13,informatique,IMTICIA,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,,0,1,0,1,0,1,0,0,bureau,12.21,gestion_finance,DTJA,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,laboratoire,12.71,industrie_btp,EMII,0
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,terrain,10.87,tourisme_environnement,TEH,0
0,,0,1,0,0,0,,,0,0,0,0,1,0,0,1,1,0,1,0,1,0,laboratoire,16.68,biotechnologies,IAA,0
1,,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,terrain,9.59,biotechnologies,PIP,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,laboratoire,16.44,biotechnologies,AEE,0
1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,atelier,13.38,industrie_btp,GCA,0
1,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,bureau,14.5,gestion_finance,DTJA,0
0,0,0,1,0,0,0,,0,1,0,0,0,1,0,,0,0,0,1,0,0,1,laboratoire,14.62,tourisme_environnement,TEH,0
1,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,laboratoire,12.78,biotechnologies,AEE,0
0,0,0,1,0,0,0,0,0,1,1,,1,1,0,0,0,0,0,1,0,,0,terrain,12.14,industrie_btp,GCA,0
0,0,0,0,,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,laboratoire,12.51,informatique,ESIIA,0
1,1,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,terrain,9.24,industrie_btp,ICMP,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,laboratoire,10.38,tourisme_environnement,TEH,1
,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,terrain,9.42,industrie_btp,GCA,0
0,1,,1,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,laboratoire,13.85,biotechnologies,AEE,0
0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,,0,0,0,0,laboratoire,15.18,biotechnologies,AEE,0
0,0,0,0,,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,mixte,11.15,tourisme_environnement,TEH,1
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,laboratoire,9.51,gestion_finance,EMP,0
0,,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,bureau,14.31,gestion_finance,DTJA,0
0,1,0,1,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,1,1,laboratoire,15.61,biotechnologies,PIP,0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,bureau,13.31,informatique,ESIIA,0
1,0,0,1,0,0,0,,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,mixte,13.36,gestion_finance,DTJA,1
0,,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,laboratoire,14.43,informatique,IMTICIA,0
0,0,0,0,0,1,,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,bureau,12.22,gestion_finance,FIC,0
,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,bureau,12.09,gestion_finance,CAA,0
1,0,1,1,1,0,0,1,0,0,,0,0,,,1,,0,0,,0,0,0,terrain,8.89,industrie_btp,GCA,0
1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,laboratoire,13.87,industrie_btp,GCA,1
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,bureau,11.05,informatique,IMTICIA,0
1,1,1,0,0,0,0,,0,0,0,1,1,0,0,1,0,0,0,1,,0,1,mixte,12.27,industrie_btp,ICMP,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,bureau,10.87,tourisme_environnement,TEH,1
1,1,1,0,0,0,,0,1,0,0,0,1,1,0,0,0,0,,0,1,0,1,terrain,13.05,informatique,IGGLIA,1
,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,0,1,0,0,1,terrain,7.63,industrie_btp,EMII,0
0,0,0,1,1,0,0,0,1,0,0,0,,0,0,0,1,1,0,0,0,1,0,laboratoire,15.43,tourisme_environnement,TEH,0
0,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,0,0,1,0,0,0,1,laboratoire,14.42,industrie_btp,EMII,0
,,0,0,1,0,1,0,1,0,0,0,0,0,0,,0,0,0,,,0,0,terrain,14.24,industrie_btp,GCA,0
0,0,,0,0,1,,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,mixte,11.04,tourisme_environnement,TEH,0
,0,0,0,,1,0,,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,bureau,12.41,biotechnologies,IAA,1
1,0,,1,0,1,0,1,,0,0,,0,0,0,1,0,0,0,0,0,0,0,terrain,9.59,biotechnologies,IAA,1
0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,1,0,0,,1,atelier,10.35,industrie_btp,EMII,0
0,0,,1,1,0,0,0,0,0,,0,1,0,,0,0,,0,0,0,,1,laboratoire,10.44,biotechnologies,AEE,0
0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,,0,1,0,0,0,terrain,11.46,informatique,IGGLIA,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,0,1,0,terrain,10.84,tourisme_environnement,TEH,0
,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,bureau,8.67,gestion_finance,FIC,0
1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,0,1,0,laboratoire,12.36,biotechnologies,PIP,0
1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,,0,1,bureau,13.15,informatique,ESIIA,0
0,1,0,0,,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,terrain,12.01,industrie_btp,ICMP,0
1,0,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,1,1,atelier,13.75,industrie_btp,EMII,1
1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,atelier,15.01,industrie_btp,GCA,0
0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,atelier,13.71,industrie_btp,EMII,0
,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,,0,0,0,mixte,12.31,tourisme_environnement,TEH,0
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,,1,0,laboratoire,12.24,biotechnologies,IAA,0
,0,1,0,0,0,0,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,terrain,15.37,tourisme_environnement,TEH,0
1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,1,0,laboratoire,15.48,biotechnologies,PIP,0
0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,1,0,1,0,bureau,14.52,gestion_finance,CAA,0
0,0,,1,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,bureau,13.53,biotechnologies,AEE,0
1,0,0,0,,0,1,1,,0,1,0,0,1,0,0,,0,0,1,0,0,0,mixte,9.27,tourisme_environnement,TEH,0
0,,,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,,0,0,bureau,10.83,biotechnologies,IAA,0
0,0,0,1,1,0,0,,0,,0,1,0,,,0,0,1,0,0,0,0,0,laboratoire,9.39,industrie_btp,ICMP,0
1,1,0,0,0,0,0,1,,0,0,0,0,,0,1,0,0,0,0,0,0,1,atelier,9.25,industrie_btp,GCA,1
1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,,laboratoire,10.84,informatique,ESIIA,0
1,0,0,0,0,1,0,,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,bureau,16.38,gestion_finance,EMP,1
0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,1,0,laboratoire,13.43,biotechnologies,IAA,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,laboratoire,15.24,biotechnologies,IAA,1
0,0,0,0,0,0,1,0,1,0,,,1,1,0,0,,,1,0,0,0,0,mixte,13.56,gestion_finance,FIC,1
0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,,1,bureau,7.21,industrie_btp,GCA,0
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,laboratoire,11.89,biotechnologies,PIP,0
0,0,1,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,bureau,12.28,informatique,IGGLIA,0
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,bureau,13.48,biotechnologies,AEE,0
0,1,,0,,0,0,1,0,0,0,0,1,0,0,1,1,0,,1,0,0,1,laboratoire,12.51,industrie_btp,ICMP,0
0,0,0,0,0,0,1,,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,terrain,13.76,tourisme_environnement,TEH,0
,1,0,0,0,1,0,,0,0,0,1,0,1,0,0,0,0,1,0,1,,0,mixte,14.08,gestion_finance,FIC,0
0,0,1,1,1,1,0,,1,1,,0,0,0,1,0,0,1,0,1,0,1,1,laboratoire,12.32,biotechnologies,AEE,0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,0,,0,,0,0,bureau,11.45,gestion_finance,DTJA,0
1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,terrain,15.71,tourisme_environnement,TEH,1
1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,terrain,10.55,biotechnologies,AEE,0
1,1,0,0,0,1,1,0,1,0,0,1,1,,1,0,0,0,1,1,1,0,0,bureau,12.73,gestion_finance,FIC,0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,,1,1,0,0,0,0,0,0,terrain,13.07,industrie_btp,GCA,0
0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,1,0,0,0,terrain,12.44,tourisme_environnement,TEH,0
1,1,1,,0,0,0,0,0,0,0,1,0,1,1,,0,,1,0,1,0,1,bureau,14.26,informatique,IGGLIA,0
0,0,0,,0,1,,,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,bureau,9.35,gestion_finance,EMP,0
1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,mixte,14.36,informatique,ISAIA,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,terrain,12.49,tourisme_environnement,TEH,0
1,0,0,1,0,0,1,0,1,1,0,0,,1,0,1,0,1,0,1,1,0,0,bureau,13.86,tourisme_environnement,TEH,1
0,0,0,0,,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,terrain,13.46,tourisme_environnement,TEH,0
1,0,1,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,,0,0,mixte,13.36,informatique,IMTICIA,0
0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,,,0,0,1,0,0,0,terrain,14.13,tourisme_environnement,TEH,0
1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,,0,atelier,14.67,gestion_finance,FIC,0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,bureau,9.69,industrie_btp,GCA,0
1,0,0,1,1,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,laboratoire,12.51,biotechnologies,PIP,0
0,1,0,0,0,1,0,1,,0,0,,1,1,0,1,1,1,1,1,0,0,1,mixte,13.43,industrie_btp,ICMP,0
1,0,0,0,0,,0,1,0,,1,0,0,0,0,1,0,0,0,1,0,0,0,bureau,12.33,tourisme_environnement,TEH,0
1,0,0,0,0,1,1,0,1,,0,0,0,0,1,0,,0,,,1,1,0,bureau,9.94,gestion_finance,FIC,0
1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,terrain,13.62,industrie_btp,ICMP,1
1,0,,0,0,0,0,1,,0,0,0,0,0,1,0,,1,0,1,,0,,laboratoire,12.96,industrie_btp,ICMP,0
1,0,0,0,1,0,0,1,1,0,,0,0,1,1,1,0,0,0,1,0,0,1,atelier,11.45,industrie_btp,GCA,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,,0,1,0,0,,mixte,12.14,tourisme_environnement,TEH,0
1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,,0,0,0,0,0,atelier,13.37,industrie_btp,GCA,0
1,1,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,1,bureau,15.09,industrie_btp,EMII,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,atelier,9.45,biotechnologies,PIP,0
1,,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,bureau,12.69,tourisme_environnement,TEH,0
,0,0,1,1,0,,1,0,0,0,0,0,1,1,0,,0,1,0,0,1,,laboratoire,13.83,biotechnologies,PIP,0
0,0,0,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,terrain,14.4,tourisme_environnement,TEH,0
0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,1,1,0,bureau,14.04,informatique,IGGLIA,0
1,1,1,0,0,0,0,,0,0,0,1,1,1,1,0,,1,0,0,0,0,0,laboratoire,11.14,informatique,IMTICIA,0
0,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,1,terrain,11.22,tourisme_environnement,TEH,0
1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,0,terrain,14.86,informatique,ISAIA,0
1,0,1,0,0,0,0,0,0,,0,1,1,0,1,0,,0,0,0,0,,0,mixte,14.71,informatique,ISAIA,0
0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,mixte,16.7,gestion_finance,DTJA,0
1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,mixte,12.97,gestion_finance,FIC,0
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,terrain,14.39,industrie_btp,EMII,0
0,0,0,1,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,1,1,laboratoire,13.19,biotechnologies,PIP,0
1,,0,0,0,0,,1,0,0,0,1,0,1,1,1,0,,,1,0,0,1,bureau,9.84,industrie_btp,ICMP,0
